"","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"455","Yes","No","No","No","No","Maybe","Don't know","No"
"456","Maybe","No","Some of them","No","No","Yes","Yes","No"
"457","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"458","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"459","Maybe","No","Some of them","Yes","No","No","Yes","No"
"460","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"461","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"462","Yes","No","Some of them","Yes","No","Maybe","Yes","No"
"463","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"464","Maybe","No","Some of them","Yes","No","Maybe","No","No"
"465","Yes","Maybe","No","Some of them","No","Maybe","No","No"
"466","Maybe","No","Yes","Yes","Maybe","Maybe","No","No"
"467","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"468","No","No","Some of them","Yes","No","No","Yes","No"
"469","Maybe","No","Some of them","Yes","No","Yes","Yes","No"
"470","Yes","No","No","No","No","Maybe","No","No"
"471","Yes","No","Some of them","Some of them","No","Maybe","No","Yes"
"472","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"473","Maybe","Maybe","No","No","No","Maybe","Don't know","No"
"474","Yes","Maybe","Some of them","No","No","No","No","Yes"
"475","No","Maybe","Yes","Yes","Maybe","Yes","Don't know","No"
"476","Yes","No","No","No","No","Maybe","Don't know","No"
"477","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"478","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"479","Yes","Maybe","No","No","No","Yes","Don't know","No"
"480","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"481","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"482","Maybe","No","No","No","No","Maybe","Don't know","No"
"483","Maybe","No","Some of them","Some of them","No","Yes","No","Yes"
"484","Yes","Maybe","Some of them","No","No","Maybe","Don't know","No"
"485","No","No","Yes","Yes","No","No","Yes","No"
"486","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"487","Maybe","Maybe","Some of them","Some of them","No","No","No","No"
"488","No","No","No","Some of them","No","No","Yes","No"
"489","No","No","Some of them","Some of them","No","No","Don't know","No"
"490","Yes","No","Some of them","No","No","Maybe","No","Yes"
"491","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"492","Maybe","No","Some of them","No","No","No","Don't know","No"
"493","Maybe","No","Some of them","Some of them","No","No","Yes","Yes"
"494","Yes","Maybe","Some of them","No","No","No","No","Yes"
"495","Yes","No","Some of them","No","No","Maybe","No","Yes"
"496","No","No","Yes","Yes","Maybe","Maybe","No","No"
"497","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"498","Maybe","Maybe","No","No","No","No","No","No"
"499","Yes","Maybe","Some of them","No","No","Maybe","No","Yes"
"500","No","No","No","Some of them","No","Maybe","Don't know","No"
"501","No","No","Yes","Yes","No","Yes","Don't know","No"
"502","Yes","Maybe","No","No","No","Maybe","No","No"
"503","Maybe","No","Some of them","No","No","No","Yes","No"
"504","Maybe","No","Yes","Yes","Maybe","Yes","No","No"
"505","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"506","No","No","Some of them","Yes","No","Yes","Yes","No"
"507","No","No","Some of them","Yes","No","Maybe","Yes","No"
"508","No","No","Some of them","Some of them","No","No","Don't know","No"
"509","Maybe","No","Some of them","No","No","No","Yes","No"
"510","Maybe","No","No","No","No","Maybe","Don't know","No"
"511","No","No","Yes","Yes","No","No","Yes","No"
"512","Yes","No","No","No","No","No","No","No"
"513","Maybe","No","Some of them","No","No","No","Don't know","No"
"514","No","No","Some of them","Yes","No","Maybe","Yes","No"
"515","Maybe","No","Yes","Yes","No","No","No","Yes"
"516","Yes","Yes","Some of them","Some of them","No","Maybe","No","No"
"517","Maybe","Maybe","Yes","Yes","No","No","No","No"
"518","Maybe","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"519","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"520","Maybe","Maybe","No","No","No","No","No","No"
"521","Maybe","Yes","No","No","No","No","Don't know","Yes"
"522","Maybe","No","Some of them","Yes","No","Yes","Yes","No"
"523","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"524","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"525","Yes","Yes","No","No","No","No","Don't know","Yes"
"526","No","No","No","Some of them","No","No","Yes","No"
"527","Maybe","Maybe","Some of them","Yes","No","No","Yes","No"
"528","No","No","Some of them","Yes","No","Yes","Don't know","No"
"529","No","No","Yes","Yes","Yes","Yes","No","No"
"530","Yes","Maybe","No","No","No","Maybe","No","No"
"531","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"532","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"533","Yes","No","Some of them","Some of them","No","No","No","No"
"534","Yes","No","Some of them","Yes","No","No","No","No"
"535","Maybe","No","No","No","No","No","No","No"
"536","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"537","No","No","Some of them","Some of them","No","No","No","Yes"
"538","Maybe","No","No","No","No","Maybe","No","No"
"539","No","No","Yes","Yes","No","No","Yes","No"
"540","No","No","Yes","Yes","Yes","Yes","Yes","No"
"541","Yes","Yes","Some of them","Some of them","No","No","No","Yes"
"542","Yes","Yes","Some of them","Some of them","Yes","No","No","Yes"
"543","Maybe","No","No","Some of them","No","Yes","Yes","No"
"544","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"545","Yes","No","Some of them","Yes","No","Yes","No","No"
"546","No","No","Some of them","Yes","No","Maybe","Yes","No"
"547","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No"
"548","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"549","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"550","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"551","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"552","Maybe","Maybe","Some of them","Some of them","No","Yes","Don't know","No"
"553","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"554","No","No","Some of them","Yes","No","Maybe","Yes","No"
"555","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"556","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"557","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"558","Maybe","No","Some of them","No","No","No","Yes","No"
"559","No","No","Some of them","No","No","No","Yes","No"
"560","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"561","No","No","Some of them","Some of them","No","No","Don't know","No"
"562","No","No","Some of them","Some of them","No","No","No","No"
"563","Maybe","No","Some of them","No","No","Maybe","No","No"
"564","Yes","Maybe","Yes","Yes","No","Maybe","Don't know","No"
"565","No","No","Yes","Some of them","Maybe","Yes","Don't know","No"
"566","Maybe","No","No","Some of them","No","Yes","No","No"
"567","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"568","Maybe","No","Some of them","Yes","No","No","Yes","No"
"569","Maybe","Maybe","Yes","Yes","Maybe","Maybe","Don't know","No"
"570","No","No","Some of them","Yes","No","No","Yes","No"
"571","No","No","Yes","Yes","No","No","No","Yes"
"572","No","No","No","No","No","Maybe","No","No"
"573","No","No","Yes","Yes","No","No","Yes","No"
"574","No","No","Yes","Yes","No","Maybe","Don't know","No"
"575","No","No","Some of them","Yes","No","No","Yes","No"
"576","Yes","No","Some of them","No","No","Yes","No","No"
"577","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"578","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","Yes"
"579","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"580","Maybe","No","Some of them","No","No","Maybe","Don't know","Yes"
"581","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"582","Yes","No","Some of them","Yes","No","No","No","No"
"583","Maybe","Maybe","Yes","Yes","Maybe","Maybe","Don't know","No"
"584","Maybe","No","Some of them","No","No","Maybe","No","Yes"
"585","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"586","Maybe","No","Yes","Yes","No","Maybe","Don't know","No"
"587","No","No","Yes","Yes","No","Maybe","Don't know","No"
"588","Maybe","No","Some of them","Some of them","No","Yes","Don't know","Yes"
"589","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No"
"590","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"591","Maybe","No","Some of them","Some of them","No","No","No","No"
"592","No","No","Some of them","Yes","No","Maybe","Yes","No"
"593","No","No","Some of them","Some of them","No","No","Yes","No"
"594","Yes","Maybe","No","No","No","No","No","Yes"
"595","Yes","No","No","No","No","Maybe","Don't know","No"
"596","No","No","Yes","Yes","No","No","Yes","No"
"597","Yes","Yes","Some of them","No","No","No","No","Yes"
"598","No","No","Some of them","Yes","No","No","Don't know","No"
"599","No","No","Yes","Yes","No","Maybe","Yes","No"
"600","Yes","Yes","No","No","No","No","No","No"
"601","No","No","Yes","Yes","No","No","Yes","No"
"602","Maybe","Maybe","No","No","No","Maybe","No","No"
"603","Maybe","Maybe","Some of them","Some of them","No","No","No","No"
"604","Yes","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"605","Maybe","Yes","Some of them","No","No","Maybe","No","No"
"606","No","No","Yes","Yes","No","Maybe","Yes","No"
"607","Yes","No","No","No","No","Maybe","Don't know","No"
"608","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"609","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"610","Maybe","No","Some of them","No","No","No","No","No"
"611","Maybe","No","Some of them","No","No","Yes","No","Yes"
"612","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"613","No","No","Yes","Yes","No","Maybe","Yes","No"
"614","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"615","Yes","No","Some of them","No","No","Maybe","No","No"
"616","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"617","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"618","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"619","No","Maybe","Some of them","Yes","Maybe","Yes","No","Yes"
"620","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"621","Yes","Maybe","No","No","No","No","Don't know","No"
"622","No","No","Some of them","Some of them","No","No","Don't know","No"
"623","Maybe","No","No","Some of them","No","No","No","No"
"624","Yes","Maybe","Some of them","Some of them","No","Maybe","No","No"
"625","No","No","Some of them","Some of them","No","No","No","No"
"626","Yes","Maybe","Some of them","No","No","Maybe","No","Yes"
"627","Yes","No","Some of them","Some of them","No","No","Don't know","Yes"
"628","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"629","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"630","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"631","Maybe","No","Some of them","Yes","No","No","Yes","No"
"632","No","No","Some of them","Yes","No","No","Yes","No"
"633","No","No","Some of them","Some of them","Yes","Yes","Don't know","No"
"634","No","No","Some of them","Yes","Maybe","Maybe","Yes","Yes"
"635","No","No","Some of them","Yes","No","Maybe","Yes","No"
"636","No","No","Some of them","Yes","No","No","Yes","No"
"637","Yes","Yes","No","No","No","No","No","Yes"
"638","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"639","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"640","Yes","No","Some of them","Some of them","No","No","No","Yes"
"641","Yes","Maybe","No","No","No","Maybe","Don't know","Yes"
"642","Maybe","No","Some of them","No","No","No","Don't know","Yes"
"643","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"644","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"645","No","No","Some of them","Some of them","No","No","Don't know","No"
"646","No","No","Yes","Yes","No","No","Don't know","No"
"647","No","No","No","Some of them","No","Yes","Don't know","No"
"648","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"649","Maybe","Maybe","No","No","No","No","No","No"
"650","No","No","Some of them","Yes","Yes","Yes","Don't know","Yes"
"651","Yes","Maybe","No","No","No","No","Don't know","Yes"
"652","Maybe","No","No","No","No","No","Yes","No"
"653","Maybe","No","Yes","Yes","No","Yes","Don't know","No"
"654","No","Maybe","Some of them","No","No","No","Yes","No"
"655","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"656","Maybe","No","Some of them","Yes","No","Yes","Yes","No"
"657","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"658","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"659","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"660","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"661","Maybe","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"662","No","No","Some of them","Some of them","No","No","Don't know","No"
"663","Maybe","Maybe","Some of them","No","No","No","No","No"
"664","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Yes","Yes"
"665","No","No","No","No","No","No","Don't know","No"
"666","Maybe","Maybe","No","No","No","No","Don't know","No"
"667","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"668","No","No","Some of them","No","No","Maybe","Don't know","No"
"669","Maybe","No","No","No","No","Maybe","Don't know","No"
"670","No","No","Some of them","Some of them","No","No","Yes","No"
"671","Maybe","No","Some of them","No","No","No","Yes","No"
"672","Maybe","Maybe","Some of them","Some of them","No","No","No","No"
"673","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"674","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No"
"675","Yes","No","No","No","No","No","Don't know","No"
"676","No","No","Yes","Yes","Yes","Yes","Yes","No"
"677","No","No","Yes","Yes","No","Maybe","Yes","No"
"678","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"679","No","No","Some of them","Yes","No","No","Don't know","No"
"680","Maybe","Maybe","No","No","No","Maybe","No","No"
"681","No","No","No","Yes","No","Maybe","Don't know","No"
"682","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"683","Yes","Maybe","No","No","No","No","Don't know","No"
"684","No","No","Some of them","Yes","No","No","Yes","No"
"685","Maybe","Maybe","Some of them","Yes","No","No","Yes","No"
"686","Maybe","No","Some of them","No","No","No","Don't know","No"
"687","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"688","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"689","No","No","Yes","Yes","No","Maybe","Yes","No"
"690","No","No","Some of them","No","Maybe","Maybe","Don't know","No"
"691","No","No","Some of them","Yes","No","No","Don't know","No"
"692","Yes","No","No","No","No","Yes","No","No"
"693","No","No","No","Yes","No","No","Yes","No"
"694","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","No"
"695","Yes","Maybe","No","No","No","Maybe","No","No"
"696","Maybe","Maybe","Some of them","No","No","No","Yes","No"
"697","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"698","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"699","No","No","Yes","Yes","No","No","Yes","Yes"
"700","Maybe","No","Yes","Yes","No","No","Don't know","No"
"701","No","No","Some of them","Yes","No","Maybe","Yes","No"
"702","Yes","No","No","No","No","No","No","No"
"703","Maybe","No","Yes","Yes","No","Maybe","No","Yes"
"704","Yes","Yes","Some of them","No","No","No","No","No"
"705","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"706","Yes","No","Some of them","No","No","No","Don't know","No"
"707","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"708","Maybe","Maybe","Some of them","Yes","No","Maybe","Don't know","No"
"709","No","No","Yes","Yes","No","No","Yes","No"
"710","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"711","Maybe","No","Some of them","Some of them","No","No","No","No"
"712","Yes","Maybe","Some of them","No","No","No","No","No"
"713","Maybe","Maybe","Some of them","Yes","Yes","Yes","Yes","No"
"714","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"715","No","No","Some of them","Yes","No","Maybe","Yes","No"
"716","No","No","Yes","Yes","No","No","Don't know","No"
"717","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"718","Yes","No","Some of them","No","No","Yes","No","Yes"
"719","Maybe","Maybe","Yes","Yes","No","Maybe","Don't know","No"
"720","Yes","No","Some of them","Yes","No","No","No","No"
"721","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"722","No","No","Some of them","Some of them","No","Maybe","No","No"
"723","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","No"
"724","Yes","Yes","No","No","No","No","No","No"
"725","No","No","Yes","Yes","No","No","No","No"
"726","Yes","No","Yes","No","No","Maybe","No","Yes"
"727","Yes","No","Yes","Yes","Maybe","Yes","No","No"
"728","Maybe","No","Yes","Some of them","No","No","Don't know","No"
"729","No","No","Yes","Yes","No","No","Don't know","No"
"730","No","No","Yes","Yes","No","No","Don't know","No"
"731","No","No","Yes","Some of them","No","Yes","No","No"
"732","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"733","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"734","Maybe","No","Yes","Some of them","No","Yes","Yes","No"
"735","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"736","No","No","Some of them","Yes","No","Maybe","Yes","Yes"
"737","Yes","Maybe","No","No","No","No","No","No"
"738","No","No","No","Some of them","No","Yes","Yes","No"
"739","Maybe","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"740","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"741","No","No","Some of them","Some of them","No","Yes","Don't know","No"
"742","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"743","Maybe","No","Some of them","No","Maybe","Maybe","No","No"
"744","No","No","Some of them","Yes","No","No","Yes","No"
"745","No","No","Some of them","Yes","No","Yes","Don't know","No"
"746","No","No","Some of them","Yes","No","No","Don't know","No"
"747","No","No","Some of them","No","No","Maybe","Yes","No"
"748","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"749","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"750","No","No","Some of them","Yes","No","No","Yes","No"
"751","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"752","Maybe","No","No","No","No","No","Don't know","No"
"753","Yes","Maybe","No","No","No","Maybe","No","No"
"754","Maybe","Maybe","No","Some of them","Maybe","Maybe","Yes","No"
"755","Yes","No","Some of them","Some of them","No","Yes","No","Yes"
"756","No","No","No","No","No","No","Yes","No"
"757","Maybe","Maybe","Yes","Some of them","No","Maybe","Yes","No"
"758","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"759","Yes","Yes","No","No","No","No","No","No"
"760","Yes","No","Some of them","No","No","Maybe","No","No"
"761","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"762","Maybe","Yes","Some of them","No","No","No","No","No"
"763","No","No","Some of them","No","Yes","Yes","Don't know","No"
"764","Maybe","Maybe","Some of them","Some of them","No","No","No","No"
"765","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"766","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"767","Maybe","Maybe","Yes","Yes","No","No","Yes","No"
"768","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"769","No","No","Some of them","Some of them","Yes","Yes","No","No"
"770","Yes","No","Some of them","Yes","No","Maybe","No","Yes"
"771","Yes","No","Some of them","Yes","No","Maybe","No","Yes"
"772","Maybe","No","No","No","No","Maybe","No","No"
"773","No","No","Yes","Some of them","Yes","Yes","Yes","Yes"
"774","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"775","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"776","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"777","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"778","No","No","Some of them","Yes","No","Maybe","Yes","No"
"779","No","No","Yes","Yes","No","Maybe","Don't know","No"
"780","No","No","Some of them","Yes","No","No","Don't know","No"
"781","Maybe","No","Some of them","Some of them","No","No","No","Yes"
"782","No","No","No","Yes","No","Maybe","No","No"
"783","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"784","Maybe","No","Yes","Yes","No","No","Don't know","No"
"785","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"786","No","No","Some of them","Yes","No","Maybe","Don't know","Yes"
"787","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"788","Yes","No","Some of them","Some of them","No","Yes","No","Yes"
"789","Yes","Maybe","No","Some of them","No","Yes","No","Yes"
"790","Yes","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"791","Maybe","No","Some of them","Yes","No","Maybe","No","Yes"
"792","Yes","No","Some of them","Yes","No","No","Don't know","No"
"793","Maybe","No","Some of them","Yes","Maybe","Yes","No","Yes"
"794","Maybe","No","Some of them","Yes","No","Yes","No","No"
"795","Maybe","No","Some of them","No","No","Maybe","Yes","No"
"796","Yes","Maybe","Yes","Yes","No","Maybe","Don't know","No"
"797","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"798","Yes","Maybe","No","No","No","No","Don't know","No"
"799","No","No","Some of them","No","No","No","Yes","No"
"800","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"801","Yes","Maybe","Some of them","Some of them","No","No","No","Yes"
"802","Maybe","No","Some of them","Yes","No","No","Don't know","Yes"
"803","No","No","No","Some of them","No","Maybe","Yes","No"
"804","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"805","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"806","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"807","No","No","Some of them","Some of them","No","Maybe","No","No"
"808","Yes","No","Some of them","Some of them","No","Yes","No","Yes"
"809","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"810","Maybe","No","Some of them","No","No","No","Don't know","No"
"811","Yes","No","No","No","No","Yes","Don't know","No"
"812","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"813","Yes","Yes","Some of them","No","No","No","Yes","No"
"814","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"815","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"816","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"817","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"818","Yes","Yes","No","No","No","No","Don't know","No"
"819","No","No","Some of them","Yes","No","Maybe","Yes","No"
"820","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"821","Yes","Yes","No","Some of them","No","No","No","Yes"
"822","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"823","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"824","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"825","No","No","Some of them","Yes","No","No","Yes","No"
"826","Maybe","No","Some of them","No","No","No","Yes","No"
"827","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"828","No","No","Some of them","Yes","No","No","Yes","No"
"829","No","No","Yes","Yes","No","Maybe","Don't know","No"
"830","Yes","No","No","No","No","Yes","Don't know","No"
"831","Maybe","No","Some of them","Yes","No","Maybe","No","Yes"
"832","No","No","Some of them","Yes","No","Yes","No","Yes"
"833","Yes","Yes","No","No","No","No","No","No"
"834","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"835","No","No","Some of them","Yes","No","No","No","No"
"836","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"837","No","No","Yes","Yes","No","Maybe","Don't know","Yes"
"838","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"839","Maybe","No","Some of them","No","No","No","Don't know","No"
"840","No","No","Some of them","Some of them","No","No","Don't know","No"
"841","Yes","Yes","Some of them","No","No","No","No","No"
"842","Maybe","No","Some of them","No","No","No","Don't know","No"
"843","No","No","Yes","No","No","No","Yes","No"
"844","No","No","Yes","Yes","No","No","Yes","No"
"845","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"846","Maybe","No","No","No","No","Maybe","Don't know","No"
"847","Maybe","No","No","Some of them","No","No","Don't know","No"
"848","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"849","Yes","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"850","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"851","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"852","No","No","Yes","Yes","No","No","Yes","No"
"853","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"854","Maybe","No","Some of them","Yes","No","No","No","No"
"855","Yes","Maybe","Some of them","No","No","No","No","No"
"856","Yes","Maybe","Some of them","No","No","No","No","No"
"857","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"858","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"859","Yes","No","Some of them","Yes","No","Maybe","No","No"
"860","Yes","Maybe","No","No","No","Maybe","Yes","No"
"861","Yes","Maybe","No","No","No","Yes","No","Yes"
"862","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"863","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","No","No"
"864","No","No","Some of them","Some of them","Maybe","Maybe","No","No"
"865","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"866","No","No","Yes","Yes","Yes","Yes","Yes","No"
"867","Maybe","No","Some of them","Some of them","No","Yes","Don't know","Yes"
"868","Maybe","Maybe","Some of them","Some of them","No","Yes","No","Yes"
"869","No","No","Some of them","Yes","No","No","Don't know","No"
"870","Maybe","No","No","No","No","No","No","No"
"871","Yes","No","No","No","No","Maybe","Don't know","No"
"872","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"873","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"874","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"875","Maybe","No","No","No","No","No","Don't know","No"
"876","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"877","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"878","Maybe","No","Some of them","Yes","No","No","Yes","Yes"
"879","No","No","Some of them","Yes","Yes","Yes","Yes","No"
"880","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"881","Maybe","No","No","No","No","No","Don't know","No"
"882","No","No","Some of them","Yes","No","No","Don't know","No"
"883","No","No","Some of them","Yes","No","Maybe","No","No"
"884","No","No","Some of them","Yes","No","No","Yes","No"
"885","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","Yes"
"886","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"887","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"888","No","No","Some of them","Yes","No","No","Don't know","No"
"889","Yes","Yes","Some of them","No","Maybe","Maybe","No","No"
"890","Maybe","Maybe","Some of them","Some of them","No","Yes","Don't know","No"
"891","No","No","Some of them","Yes","No","No","Don't know","No"
"892","No","No","Some of them","Yes","No","No","Yes","No"
"893","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"894","No","No","Some of them","Yes","No","Maybe","Yes","No"
"895","No","No","Some of them","Yes","No","Maybe","No","No"
"896","Yes","Maybe","No","No","No","Maybe","No","No"
"897","Yes","Yes","Some of them","No","No","No","No","Yes"
"898","Maybe","Maybe","Some of them","Some of them","No","No","Yes","Yes"
"899","No","No","No","No","No","Maybe","Yes","No"
"900","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"901","Yes","Maybe","No","No","No","Maybe","No","Yes"
"902","Yes","Maybe","No","No","No","No","Don't know","No"
"903","Yes","Yes","No","No","No","No","No","No"
"904","Maybe","No","No","No","No","Maybe","Don't know","No"
"905","Maybe","Maybe","Yes","Yes","No","Maybe","Yes","Yes"
"906","Yes","No","Some of them","No","No","Maybe","No","Yes"
"907","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"908","No","No","Yes","Yes","No","No","Don't know","No"
"909","No","No","Yes","Yes","No","No","Don't know","No"
